Motifs	Average log2FC	Adjusted p-value	Cluster
Gmeb1	0.548315674	3.28004E-08	Other expanded
HESX1	0.549664962	0.000161376	C3
Rhox11	0.55022469	1	C4
Klf1	0.551262845	0.125744568	C5
KLF14	0.55167384	1.95547E-21	Other expanded
Lhx3	0.551874249	5.99212E-07	C2
MAF	0.552189521	0.000283764	C3
NFIX	0.55223443	4.32259E-44	C1
PPARA::RXRA	0.552523923	3.33698E-10	C2
ARNT2	0.553297111	7.87829E-49	C1
HOXA4	0.553755035	4.04002E-20	Other expanded
EGR4	0.553802593	4.8405E-07	Other expanded
HIC2	0.554275473	5.71279E-06	C3
ELF2	0.554519361	1.67826E-47	Not expanded
FOSB::JUN	0.555105484	1	C5
CEBPG(var.2)	0.555293456	0.016580642	C4
FOXH1	0.556937146	1.22287E-23	C1
MAFF	0.557790464	1.89635E-12	Other expanded
Arntl	0.558537416	5.98729E-39	C1
MAX	0.559233821	2.37326E-24	Other expanded
Ddit3::Cebpa	0.559429895	3.75096E-10	Other expanded
NR1I3	0.559924919	2.26813E-24	Not expanded
KLF11	0.56309438	1.69996E-10	C3
Gfi1b	0.563584341	5.06183E-31	Not expanded
NFIC	0.564546753	9.21145E-20	C1
ERG	0.565228318	1.28523E-12	Not expanded
Mafb	0.566063105	1	C5
TFAP2C	0.566230889	0.001124416	Not expanded
ARGFX	0.56650561	6.28934E-20	C1
SOX21	0.566598254	3.12188E-63	C1
RREB1	0.56685601	0.002928334	C4
STAT3	0.567069671	3.38595E-66	C1
EN2	0.567141928	4.1244E-06	C2
Dlx1	0.56786933	0.013324641	C3
JUN::JUNB(var.2)	0.567973343	1.54562E-56	C2
POU6F2	0.568080006	3.29132E-18	Other expanded
NR5A1	0.568344016	0.009442216	C3
DUXA	0.568836986	1.98125E-14	C3
HES6	0.569350455	8.44803E-24	Other expanded
Znf423	0.569472742	1.81022E-06	C3
BHLHE41	0.569636712	4.81404E-09	C2
ARNT::HIF1A	0.570100987	3.49888E-16	Other expanded
MAZ	0.570224751	1.13485E-09	C2
ESR2	0.570423333	2.42615E-19	Not expanded
DUXA	0.570934215	4.41035E-19	Other expanded
TFAP2A(var.3)	0.571038472	9.55231E-05	Other expanded
HIC2	0.57138557	7.44503E-07	Not expanded
GBX2	0.571766632	6.63211E-10	C2
MSGN1	0.571918068	4.22436E-12	Not expanded
ZBTB7A	0.572877192	4.09802E-14	Other expanded
MAF	0.573052306	4.5672E-06	Other expanded
ZNF682	0.573707623	2.66514E-12	Other expanded
PDX1	0.577115671	1.50565E-05	C2
EMX1	0.577115671	1.50565E-05	C2
HOXA2	0.577115671	1.50565E-05	C2
HOXB2	0.577115671	1.50565E-05	C2
HOXD3	0.577115671	1.50565E-05	C2
FOSL1::JUN(var.2)	0.577119989	7.58946E-50	C2
HOXD12	0.577436612	1.44597E-13	Not expanded
RARA::RXRG	0.577468381	3.40773E-09	C3
MTF1	0.579424158	1.68113E-09	Not expanded
JDP2(var.2)	0.579424563	0.313492587	C5
FOS::JUN(var.2)	0.579854632	8.5359E-56	Other expanded
E2F6	0.580870155	8.65799E-36	C1
JUNB(var.2)	0.581049919	6.53983E-43	C2
RARA::RXRG	0.581959524	9.25526E-13	Other expanded
GBX1	0.581967182	5.97407E-08	Other expanded
THRB	0.582458415	3.53835E-24	C1
MLXIPL	0.583074986	3.03715E-39	C1
VSX2	0.583323702	5.75809E-06	C2
ELF4	0.583330051	5.88668E-08	C3
SP9	0.583387984	2.66035E-44	C2
MSGN1	0.583537393	7.96708E-42	C1
HEY1	0.583938494	2.59911E-16	Other expanded
ESRRA	0.585674891	0.028708786	C5
NFIC::TLX1	0.586501722	5.30402E-29	C1
ZNF24	0.586796699	1	C4
MSANTD3	0.58920358	1.87148E-16	C2
Stat4	0.590065539	6.6395E-17	Not expanded
FLI1	0.590066802	1.96944E-18	Not expanded
Rarb(var.2)	0.590175	1	C5
NR2F2	0.590240025	0.179020017	C5
ATF7	0.59129489	1.53612E-22	C3
ELF4	0.593354856	8.57011E-16	C2
RARB(var.3)	0.593546781	4.0207E-11	C3
DBP	0.593702976	3.46223E-23	C2
ESX1	0.594238462	5.131E-11	C2
PDX1	0.594681081	1	C3
EMX1	0.594681081	1	C3
HOXA2	0.594681081	1	C3
HOXB2	0.594681081	1	C3
HOXD3	0.594681081	1	C3
TBX6	0.598166181	2.96915E-76	Other expanded
KLF5	0.598988943	4.17522E-07	Other expanded
OVOL2	0.601602537	4.70524E-32	Not expanded
MSANTD3	0.601833275	0.646542032	C5
TBX3	0.602070687	9.28489E-80	Other expanded
PPARG	0.602878506	2.46548E-19	Other expanded
ELF2	0.603052583	0.006266811	C5
RXRG	0.603090912	1.14783E-31	C1
BHLHE41	0.603319238	8.59171E-63	C1
Esrrg	0.603805025	1.16507E-10	C2
ATF3	0.60426656	8.59123E-07	C4
HOXA4	0.605050182	1.2883E-06	C3
HOXC9	0.605425449	4.40529E-36	Not expanded
Rarg	0.605443371	1	C4
ESRRA	0.607403584	6.16899E-17	C2
FOSL2::JUNB(var.2)	0.607882041	1.68891E-62	Other expanded
ZNF384	0.608831498	0.189539281	C4
TBR1	0.609008105	2.99201E-48	Other expanded
POU6F2	0.609198676	9.81048E-10	C3
